"ID","Year_Birth","Education","Marital_Status","Income","Kidhome","Teenhome","Dt_Customer","Recency","Complain","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","AcceptedCmp1","AcceptedCmp2","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","Response","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","Income","Z_CostContact","Z_Revenue","Response_Total","Age","Age_Group"
48,1964,Graduation,Together,,0,1,"04-24-2014",97,0,136,1,12,0,3,32,2,0,0,0,1,0,0,4,1,3,6," $55,761.00 ","","","1",62,"56+"
49,1970,Graduation,Single,,1,0,"11-05-2014",39,0,2,3,6,4,1,9,1,0,0,0,0,0,0,1,1,2,7," $20,587.00 ","","","0",56,"56+"
55,1963,Graduation,Together,,0,1,"07-12-2012",83,0,509,0,65,7,11,5,4,0,0,0,0,0,0,7,2,9,6," $56,253.00 ","","","0",63,"56+"
67,1972,Master,Single,,1,1,"09-18-2013",6,0,68,0,16,0,0,8,3,0,0,0,0,0,0,2,0,4,7," $46,423.00 ","","","0",54,"46-55"
73,1953,PhD,Single,,1,2,"05-26-2013",81,0,14,0,3,0,0,1,1,0,0,0,0,0,0,0,0,3,5," $51,411.00 ","","","0",73,"56+"
75,1982,"2n Cycle",Together,,0,0,"07-25-2013",32,0,34,11,137,179,61,45,1,0,0,0,0,0,0,8,1,5,8," $41,039.00 ","","","0",44,"36-45"
78,1969,Graduation,Married,,1,0,"09-15-2013",51,0,15,0,11,0,2,9,1,0,0,0,0,0,0,1,1,2,8," $25,293.00 ","","","0",57,"56+"
87,1981,"2n Cycle",Married,,1,0,"08-26-2013",16,0,0,7,5,26,2,17,2,0,0,0,0,0,0,2,0,3,7," $27,733.00 ","","","0",45,"36-45"
89,1975,"2n Cycle",Married,,1,0,"09-12-2013",49,0,5,9,20,6,8,21,2,0,0,0,0,0,0,2,0,4,6," $22,212.00 ","","","0",51,"46-55"
92,1988,Graduation,Single,,1,0,"12-05-2014",12,0,5,7,24,19,14,20,4,0,0,0,0,0,0,3,0,4,6," $34,176.00 ","","","0",38,"36-45"
113,1951,Graduation,Married,,1,1,"07-16-2013",33,0,11,0,7,3,1,6,2,0,0,0,0,0,0,1,0,3,5," $30,833.00 ","","","0",75,"56+"
115,1966,Master,Single,,0,1,"03-26-2013",0,0,275,11,68,25,7,7,3,0,0,0,0,0,0,5,1,8,5," $43,456.00 ","","","0",60,"56+"
123,1951,Graduation,Widow,,0,1,"06-01-2013",92,0,544,35,133,23,151,107,2,0,0,0,0,0,0,4,5,4,2," $67,046.00 ","","","0",75,"56+"
125,1958,"2n Cycle",Together,,1,1,"05-15-2013",65,0,215,7,33,3,0,13,6,0,0,0,1,0,0,5,1,5,7," $53,083.00 ","","","1",68,"56+"
143,1970,Graduation,Single,,0,0,"08-25-2013",73,0,466,0,224,119,49,99,1,0,0,0,0,0,0,5,3,4,2," $61,209.00 ","","","0",56,"56+"
146,1960,PhD,Single,,0,0,"11-15-2013",78,0,760,53,400,17,93,0,1,1,0,0,0,0,0,4,5,11,2," $76,045.00 ","","","1",66,"56+"
153,1953,Graduation,Divorced,,0,0,"10-17-2013",29,0,19,3,6,4,2,12,1,0,0,0,0,0,0,1,0,3,4," $23,272.00 ","","","0",73,"56+"
158,1945,PhD,Together,,0,0,"11-17-2013",3,0,345,53,528,98,75,97,1,0,0,1,0,0,1,8,3,5,4," $71,604.00 ","","","2",81,"56+"
164,1977,PhD,Married,,0,0,"10-13-2012",59,0,206,0,46,3,2,12,2,0,0,0,0,0,0,5,1,5,8," $28,973.00 ","","","0",49,"46-55"
175,1986,Graduation,Married,,1,0,"10-01-2013",93,0,656,80,455,52,107,93,2,0,0,1,0,1,0,8,4,8,4," $71,952.00 ","","","2",40,"36-45"
176,1980,"2n Cycle",Single,,0,1,"02-01-2014",73,0,90,38,67,33,36,67,1,0,0,0,0,0,0,4,1,6,3," $67,506.00 ","","","0",46,"46-55"
178,1956,Graduation,Married,,0,1,"02-18-2013",40,0,478,0,193,110,75,117,4,0,0,0,0,0,0,8,3,11,5," $62,503.00 ","","","0",70,"56+"
182,1946,PhD,Together,,0,1,"11-05-2013",62,0,284,0,55,0,6,52,4,0,0,0,0,0,0,6,2,5,8," $44,124.00 ","","","0",80,"56+"
193,1996,Basic,Married,,0,0,"02-17-2014",81,0,0,0,2,3,3,8,1,0,0,1,0,0,0,1,0,2,5," $14,421.00 ","","","1",30,"26-35"
194,1965,Graduation,Married,,1,1,"09-06-2014",55,0,23,0,11,3,2,2,1,0,0,0,0,0,0,1,0,3,6," $48,006.00 ","","","0",61,"56+"
195,1972,Graduation,Single,,1,0,"08-26-2012",21,0,125,17,52,3,19,30,4,0,0,1,0,0,1,5,1,4,8," $38,808.00 ","","","2",54,"46-55"
199,1962,Master,Single,,0,0,"01-20-2013",33,0,219,3,60,12,9,12,1,0,0,0,1,0,0,4,1,7,7," $45,183.00 ","","","1",64,"56+"
202,1948,PhD,Widow,,0,0,"05-04-2014",54,0,332,194,377,149,125,57,0,0,0,0,0,0,0,4,6,7,1," $82,032.00 ","","","0",78,"56+"
203,1975,Master,Single,,0,0,"04-14-2013",47,0,1288,20,613,80,61,27,1,0,0,0,0,0,0,5,7,9,2," $81,169.00 ","","","0",51,"46-55"
213,1963,PhD,Single,,1,1,"05-28-2014",98,0,35,0,11,0,0,2,4,0,0,0,0,0,0,2,1,3,7," $23,091.00 ","","","0",63,"56+"
217,1956,Master,Single,,0,0,"11-23-2012",78,0,556,14,717,210,0,43,1,0,0,0,0,0,0,7,5,10,4," $64,857.00 ","","","0",70,"56+"
221,1955,Graduation,Married,,0,1,"04-27-2013",90,0,138,3,38,4,0,59,3,0,0,0,0,0,0,3,2,4,6," $48,726.00 ","","","0",71,"56+"
231,1956,Master,Together,,1,1,"11-03-2014",86,0,24,0,7,0,0,1,2,0,0,0,0,0,0,2,0,3,5," $28,839.00 ","","","0",70,"56+"
232,1965,Graduation,Single,,0,1,"07-17-2013",8,0,279,83,88,32,14,34,1,0,0,0,0,0,0,4,2,10,3," $61,559.00 ","","","0",61,"56+"
234,1979,Graduation,Divorced,,1,0,"10-10-2012",60,0,1,2,8,4,3,13,2,0,0,1,0,0,1,1,1,2,7," $15,287.00 ","","","2",47,"46-55"
236,1951,Graduation,Married,,1,1,"01-19-2013",62,0,28,23,29,29,14,47,3,0,0,0,0,0,0,2,1,4,6," $34,838.00 ","","","0",75,"56+"
238,1967,"2n Cycle",Together,,1,1,"01-23-2013",76,0,515,47,181,149,95,95,15,0,0,0,0,0,0,9,6,9,7," $67,309.00 ","","","0",59,"56+"
241,1952,Graduation,Together,,0,0,"12-05-2013",57,0,901,31,345,75,31,191,1,0,0,0,0,1,0,4,4,11,1," $83,844.00 ","","","1",74,"56+"
246,1965,Graduation,Married,,1,1,"05-31-2014",71,0,199,9,57,20,21,6,7,0,0,0,0,0,0,4,1,7,4," $66,480.00 ","","","0",61,"56+"
247,1971,Graduation,Married,,1,0,"11-17-2012",16,0,172,10,125,21,13,16,6,0,0,0,0,0,1,7,2,4,9," $36,715.00 ","","","1",55,"46-55"
252,1963,PhD,Divorced,,0,0,"03-17-2013",11,0,123,133,142,71,44,88,1,0,0,0,0,0,0,6,2,8,6," $41,003.00 ","","","0",63,"56+"
254,1955,Graduation,Together,,0,1,"05-17-2014",4,0,399,4,30,6,4,30,3,0,0,0,1,0,0,7,1,7,7," $53,863.00 ","","","1",71,"56+"
255,1951,Graduation,Divorced,,1,1,"03-30-2014",31,1,17,0,2,0,0,2,2,0,0,0,0,0,0,1,0,3,6," $22,263.00 ","","","0",75,"56+"
257,1959,PhD,Married,,0,1,"04-28-2013",74,0,952,12,180,47,12,12,2,0,0,0,0,0,0,5,4,9,3," $75,032.00 ","","","0",67,"56+"
263,1945,PhD,Single,,0,0,"05-28-2014",9,0,56,19,29,2,14,25,1,0,0,0,0,0,1,3,1,3,8," $45,576.00 ","","","1",81,"56+"
269,1963,PhD,Single,,0,1,"11-16-2012",71,0,777,30,163,0,51,122,6,0,0,0,0,0,0,4,4,7,9," $46,757.00 ","","","0",63,"56+"
271,1969,Graduation,Widow,,1,1,"02-10-2013",30,0,154,0,50,6,11,37,5,0,0,1,0,0,0,3,4,3,6," $40,590.00 ","","","1",57,"56+"
273,1970,Master,Married,,1,1,"07-16-2013",48,0,130,0,16,0,0,5,5,0,0,0,1,0,0,3,1,4,7," $36,138.00 ","","","1",56,"56+"
274,1973,Graduation,Single,,1,1,"12-23-2013",75,0,9,3,15,2,3,2,2,0,0,0,0,0,0,2,0,3,6," $34,853.00 ","","","0",53,"46-55"
286,1952,Graduation,Single,,1,1,"11-29-2013",48,0,95,11,35,0,4,7,4,0,0,0,0,0,0,2,1,5,6," $44,213.00 ","","","0",74,"56+"
291,1970,Graduation,Married,,0,0,"06-19-2013",13,0,182,74,298,162,149,116,1,0,0,0,0,0,0,3,3,6,1," $72,940.00 ","","","0",56,"56+"
295,1989,Graduation,Single,,0,0,"07-19-2013",77,0,493,70,324,146,40,84,1,0,0,0,0,0,0,3,7,11,1," $81,217.00 ","","","0",37,"36-45"
304,1981,Master,Single,,1,0,"12-23-2013",67,0,19,3,19,4,5,26,3,0,0,0,0,0,0,3,0,3,7," $22,944.00 ","","","0",45,"36-45"
309,1961,PhD,Together,,0,1,"10-16-2012",48,0,918,21,118,13,10,21,3,0,0,0,1,0,0,8,3,5,6," $63,342.00 ","","","1",65,"56+"
310,1970,Master,Married,,0,1,"12-13-2013",81,0,330,5,159,36,27,16,4,0,0,0,0,0,0,4,4,9,4," $61,872.00 ","","","0",56,"56+"
313,1968,Graduation,Widow,,0,0,"10-28-2013",98,0,901,61,757,186,163,20,1,0,0,0,1,0,0,6,5,10,3," $73,455.00 ","","","1",58,"56+"
322,1978,Graduation,Together,,1,1,"12-01-2013",93,0,29,1,11,0,0,0,2,0,0,0,0,0,0,2,0,3,4," $42,554.00 ","","","0",48,"46-55"
326,1973,Graduation,Married,,1,1,"02-18-2013",38,0,235,6,45,8,9,12,4,0,0,0,0,0,0,5,1,6,6," $51,148.00 ","","","0",53,"46-55"
332,1957,Graduation,Married,,0,1,"03-22-2013",56,0,198,2,43,0,12,20,3,0,0,0,1,0,0,4,1,6,6," $47,743.00 ","","","1",69,"56+"
339,1972,PhD,Married,,0,1,"11-23-2012",82,0,462,0,24,6,0,4,2,0,0,0,1,0,1,9,2,5,7," $57,091.00 ","","","2",54,"46-55"
340,1970,Graduation,Divorced,,0,1,"12-15-2012",1,0,158,35,179,0,0,125,2,0,0,1,0,0,1,7,2,8,5," $72,967.00 ","","","2",56,"56+"
347,1976,Graduation,Divorced,,0,1,"08-09-2012",30,0,229,27,71,13,3,34,4,0,0,0,0,0,0,7,1,5,9," $40,780.00 ","","","0",50,"46-55"
359,1950,Graduation,Together,,0,1,"01-13-2013",33,1,373,14,83,6,9,19,3,0,0,0,0,0,0,8,2,6,7," $48,070.00 ","","","0",76,"56+"
361,1969,Master,Married,,1,1,"02-18-2014",84,0,5,1,7,2,1,4,1,0,0,0,0,0,0,1,0,2,7," $43,142.00 ","","","0",57,"56+"
367,1978,"2n Cycle",Married,,1,0,"02-19-2013",74,0,47,90,94,123,103,120,5,0,0,0,0,0,0,9,1,5,9," $36,550.00 ","","","0",48,"46-55"
368,1974,Graduation,Married,,0,1,"11-29-2012",61,0,91,65,52,10,44,28,3,0,0,0,0,0,0,3,2,6,5," $40,049.00 ","","","0",52,"46-55"
375,1954,Graduation,Divorced,,0,0,"02-25-2013",79,0,516,56,449,86,33,16,1,0,0,0,0,0,0,2,2,11,1," $76,773.00 ","","","0",72,"56+"
378,1971,Graduation,Married,,0,0,"12-30-2012",68,0,283,112,151,51,72,125,2,0,0,0,0,0,0,7,2,10,6," $52,531.00 ","","","0",55,"46-55"
380,1954,Graduation,Divorced,,0,1,"10-09-2012",17,0,1170,48,320,42,32,192,5,0,0,1,0,0,1,11,4,9,8," $64,497.00 ","","","2",72,"56+"
387,1976,Basic,Married,,0,0,"11-13-2012",59,0,6,16,11,11,1,16,1,0,0,0,0,0,0,2,0,3,8," $7,500.00 ","","","0",50,"46-55"
405,1964,Graduation,Divorced,,0,1,"02-13-2013",68,0,315,0,31,4,0,91,4,0,0,1,0,0,0,5,5,3,8," $41,638.00 ","","","1",62,"56+"
425,1985,Graduation,Married,,2,0,"02-19-2013",66,0,374,64,116,84,25,64,3,0,0,0,0,0,0,6,2,11,5," $55,357.00 ","","","0",41,"36-45"
433,1958,Master,Single,,1,1,"10-03-2013",42,0,534,5,47,0,5,41,5,0,0,0,0,0,0,11,1,6,8," $61,331.00 ","","","0",68,"56+"
437,1976,Master,Divorced,,0,0,"01-25-2014",41,0,294,142,218,164,58,151,1,0,0,0,0,0,0,3,8,11,1," $75,012.00 ","","","0",50,"46-55"
448,1978,PhD,Single,,1,0,"01-03-2013",57,0,308,85,137,102,45,118,2,0,0,0,0,0,0,6,2,11,5," $54,880.00 ","","","0",48,"46-55"
450,1958,Master,Together,,0,1,"12-07-2013",90,0,67,15,80,17,11,80,3,0,0,0,0,0,0,1,4,4,3," $42,315.00 ","","","0",68,"56+"
451,1989,Graduation,Single,,1,0,"12-20-2013",91,0,9,0,7,2,0,4,1,0,0,0,0,0,0,1,1,2,8," $9,255.00 ","","","0",37,"36-45"
453,1956,PhD,Widow,,1,1,"06-29-2014",1,0,27,0,12,0,1,5,2,0,0,0,0,0,0,2,0,3,5," $35,340.00 ","","","0",70,"56+"
454,1980,Graduation,Together,,1,0,"11-14-2012",48,0,824,32,162,42,32,43,2,0,0,0,0,0,0,11,4,11,6," $69,508.00 ","","","0",46,"46-55"
455,1946,PhD,Married,,0,0,"04-18-2013",86,0,102,9,63,2,9,24,1,0,0,0,0,0,0,4,1,4,6," $51,012.00 ","","","0",80,"56+"
456,1986,"2n Cycle",Married,,1,0,"07-02-2013",96,0,1,11,5,4,6,9,2,0,0,0,0,0,0,2,0,3,8," $7,500.00 ","","","0",40,"36-45"
460,1972,PhD,Married,,0,0,"08-08-2012",72,0,792,86,740,67,51,17,1,0,0,0,0,0,0,3,5,8,2," $79,930.00 ","","","0",54,"46-55"
466,1944,Graduation,Married,,0,0,"03-04-2013",9,0,388,14,218,91,14,21,1,0,0,0,0,0,0,4,3,13,2," $65,275.00 ","","","0",82,"56+"
477,1986,Graduation,Married,,0,0,"06-17-2014",31,0,1060,61,835,80,20,101,1,1,1,1,0,1,1,4,7,10,1," $83,512.00 ","","","5",40,"36-45"
486,1988,Graduation,Married,,0,0,"02-02-2014",27,0,434,137,400,45,137,45,1,0,0,0,0,0,0,3,4,10,1," $84,219.00 ","","","0",38,"36-45"
498,1970,Graduation,Single,,1,0,"02-02-2014",28,0,25,0,22,2,3,5,2,0,0,0,0,0,0,1,0,4,5," $30,015.00 ","","","0",56,"56+"
500,1977,Graduation,Together,,0,0,"06-08-2013",79,0,908,43,735,40,194,21,1,1,0,0,1,1,1,7,7,9,2," $96,876.00 ","","","4",49,"46-55"
503,1985,Master,Married,,1,0,"12-03-2013",88,0,13,1,29,3,0,7,2,0,0,0,0,0,0,2,0,3,8," $20,559.00 ","","","0",41,"36-45"
520,1974,Graduation,Married,,1,0,"01-07-2013",81,0,3,3,7,6,2,9,1,0,0,0,0,0,0,1,0,2,7," $34,421.00 ","","","0",52,"46-55"
521,1985,Graduation,Together,,1,0,"09-18-2012",42,0,174,77,203,6,24,97,2,0,0,0,0,0,0,8,1,7,7," $54,006.00 ","","","0",41,"36-45"
523,1989,Graduation,Married,,1,0,"01-31-2013",51,0,23,0,26,7,15,3,1,0,0,0,0,0,0,2,0,4,5," $37,155.00 ","","","0",37,"36-45"
524,1966,Basic,Together,,0,0,"01-16-2013",47,0,2,23,11,8,6,46,1,0,0,0,0,0,0,2,1,2,8," $22,634.00 ","","","0",60,"56+"
528,1978,Graduation,Married,,0,0,"11-29-2012",99,0,267,38,701,149,165,63,1,0,0,0,0,0,0,5,4,10,3," $65,819.00 ","","","0",48,"46-55"
531,1954,PhD,Divorced,,0,1,"09-22-2012",55,0,941,14,397,76,58,176,11,0,0,0,0,0,1,8,5,9,6," $57,333.00 ","","","1",72,"56+"
535,1987,Graduation,Divorced,,0,0,"02-25-2014",18,0,163,23,424,27,65,76,1,0,0,0,0,0,0,3,10,13,1," $81,361.00 ","","","0",39,"36-45"
538,1989,Graduation,Single,,1,0,"10-02-2014",78,0,31,9,27,16,9,33,1,0,0,0,0,0,0,1,1,4,3," $46,107.00 ","","","0",37,"36-45"
544,1954,Graduation,Married,,0,0,"11-05-2013",51,0,398,61,265,138,61,53,1,0,0,0,0,0,0,3,4,6,1," $62,820.00 ","","","0",72,"56+"
550,1952,Graduation,Divorced,,0,1,"05-23-2013",87,0,243,131,217,85,6,26,2,0,0,0,0,0,0,3,3,13,2," $62,335.00 ","","","0",74,"56+"
564,1981,PhD,Together,,1,0,"04-08-2012",81,0,746,8,125,11,8,8,7,0,0,0,1,0,1,8,6,9,6," $56,937.00 ","","","2",45,"36-45"
569,1991,Graduation,Single,,0,0,"12-14-2013",32,0,704,129,853,120,74,111,1,1,0,0,1,1,1,5,6,7,2," $90,273.00 ","","","4",35,"26-35"
574,1964,Graduation,Married,,0,0,"04-23-2014",96,0,14,36,11,3,26,35,1,0,0,0,0,0,0,1,1,4,2," $42,523.00 ","","","0",62,"56+"
577,1976,"2n Cycle",Together,,1,1,"08-20-2013",10,0,9,1,7,0,3,2,2,0,0,0,0,0,0,1,0,3,7," $26,907.00 ","","","0",50,"46-55"
590,1970,Master,Divorced,,0,0,"12-22-2012",35,0,816,66,549,216,66,99,1,0,0,0,0,0,1,5,6,4,3," $78,579.00 ","","","1",56,"56+"
591,1957,Graduation,Widow,,0,1,"01-20-2013",76,0,293,35,179,46,59,65,2,0,0,0,0,0,0,8,3,7,7," $66,033.00 ","","","0",69,"56+"
606,1967,Graduation,Single,,1,1,"10-10-2013",87,0,6,1,2,2,0,4,1,0,0,0,0,0,0,1,0,2,7," $25,930.00 ","","","0",59,"56+"
607,1955,"2n Cycle",Divorced,,0,1,"02-13-2013",31,0,302,29,131,32,0,27,6,0,0,0,0,0,0,8,1,7,8," $41,769.00 ","","","0",71,"56+"
610,1953,PhD,Together,,1,1,"07-08-2012",60,0,349,4,78,6,0,43,8,0,0,0,0,0,0,7,2,6,8," $53,593.00 ","","","0",73,"56+"
615,1960,Graduation,Together,,0,0,"11-03-2013",29,0,65,36,74,38,20,110,1,0,0,0,0,0,0,5,1,4,7," $30,507.00 ","","","0",66,"56+"
618,1977,PhD,Married,,0,1,"09-28-2012",17,0,422,7,238,69,46,15,1,0,0,0,0,0,0,7,2,12,4," $69,389.00 ","","","0",49,"46-55"
624,1984,Master,Single,,0,0,"10-11-2012",5,0,6,4,1,7,2,15,1,0,0,1,0,0,1,0,1,2,6," $18,890.00 ","","","2",42,"36-45"
626,1951,Graduation,Married,,1,1,"09-03-2013",28,0,22,2,12,0,2,5,1,0,0,0,0,0,0,1,0,3,4," $32,871.00 ","","","0",75,"56+"
635,1966,Master,Married,,1,1,"03-19-2013",51,0,464,5,64,7,0,70,8,0,0,0,0,0,0,9,1,7,8," $57,183.00 ","","","0",60,"56+"
640,1951,Graduation,Married,,0,1,"11-03-2013",61,0,356,80,329,138,17,106,2,0,0,0,0,0,0,7,6,10,5," $57,304.00 ","","","0",75,"56+"
641,1967,Graduation,Single,,0,1,"04-04-2014",77,0,59,0,12,0,0,48,1,0,0,1,0,0,0,2,2,2,4," $52,074.00 ","","","1",59,"56+"
642,1980,Basic,Married,,1,0,"08-14-2012",69,0,1,3,2,20,30,47,3,0,0,0,0,0,0,2,1,2,8," $16,005.00 ","","","0",46,"46-55"
663,1989,PhD,Single,,0,0,"11-09-2013",46,0,40,2,15,8,0,6,1,0,0,0,0,0,0,1,1,3,4," $33,996.00 ","","","0",37,"36-45"
675,1973,Master,Divorced,,1,1,"05-17-2013",67,0,146,0,93,7,13,73,5,0,0,0,0,0,0,4,2,5,7," $52,034.00 ","","","0",53,"46-55"
679,1957,PhD,Married,,1,1,"09-20-2012",49,0,13,4,20,0,0,1,2,0,0,0,0,0,0,1,0,3,9," $37,633.00 ","","","0",69,"56+"
692,1954,Graduation,Together,,1,1,"12-20-2012",88,0,4,2,5,0,0,5,1,0,0,0,0,0,0,1,0,2,6," $36,807.00 ","","","0",72,"56+"
697,1969,Graduation,Together,,0,0,"12-03-2013",78,0,972,59,913,25,19,59,1,0,0,0,0,1,0,5,9,6,3," $74,918.00 ","","","1",57,"56+"
701,1971,Graduation,Married,,0,1,"06-11-2013",58,0,707,21,250,85,43,73,2,0,0,1,0,0,0,6,2,8,2," $73,691.00 ","","","1",55,"46-55"
702,1975,"2n Cycle",Widow,,0,1,"02-15-2013",80,0,162,61,83,97,57,61,4,0,0,0,0,0,0,4,3,8,5," $47,682.00 ","","","0",51,"46-55"
709,1952,Graduation,Divorced,,0,1,"09-12-2012",27,0,787,20,204,0,0,92,3,0,0,0,0,0,0,2,2,11,8," $51,537.00 ","","","0",74,"56+"
713,1977,Master,Married,,0,0,"08-06-2014",72,0,141,15,153,67,31,35,1,0,0,0,0,0,0,4,4,6,3," $50,353.00 ","","","0",49,"46-55"
716,1949,PhD,Together,,0,1,"05-22-2014",63,0,529,0,356,63,28,0,3,0,0,0,0,0,0,6,7,11,3," $67,911.00 ","","","0",77,"56+"
736,1983,Graduation,Together,,1,0,"03-21-2013",67,0,18,3,19,3,3,6,2,0,0,0,0,0,0,2,0,3,8," $28,427.00 ","","","0",43,"36-45"
737,1949,PhD,Married,,0,0,"03-03-2013",56,0,1493,86,454,112,43,43,2,1,0,0,1,1,0,4,4,5,2," $80,360.00 ","","","3",77,"56+"
738,1981,"2n Cycle",Single,,1,1,"04-04-2014",35,0,48,13,57,24,15,25,4,0,0,0,0,0,0,3,1,4,7," $42,395.00 ","","","0",45,"36-45"
749,1981,Graduation,Together,,1,0,"11-19-2013",31,0,46,7,59,2,4,27,2,0,0,1,0,0,1,3,1,3,6," $42,162.00 ","","","2",45,"36-45"
760,1975,PhD,Divorced,,1,0,"09-08-2013",8,0,588,7,76,110,15,15,2,0,0,0,0,0,0,8,4,9,6," $60,554.00 ","","","0",51,"46-55"
762,1981,"2n Cycle",Together,,1,0,"02-05-2014",27,0,340,21,134,258,14,56,1,0,0,0,0,0,0,7,5,8,4," $75,774.00 ","","","0",45,"36-45"
771,1967,Graduation,Together,,0,1,"01-21-2014",79,0,135,9,39,4,0,7,1,0,0,0,0,0,0,2,2,5,2," $54,178.00 ","","","0",59,"56+"
773,1971,Master,Divorced,,1,1,"06-30-2013",64,0,379,4,93,12,9,98,7,0,0,0,0,0,0,6,6,4,6," $42,835.00 ","","","0",55,"46-55"
793,1973,Graduation,Married,,1,0,"06-10-2012",24,0,18,3,17,3,0,4,1,0,0,0,0,0,0,2,0,3,9," $20,895.00 ","","","0",53,"46-55"
796,1965,"2n Cycle",Divorced,,0,1,"10-23-2012",17,0,584,44,212,46,8,177,3,0,0,0,0,0,0,11,4,8,8," $60,161.00 ","","","0",61,"56+"
798,1987,Graduation,Single,,1,0,"12-24-2012",71,0,2,0,6,8,6,5,1,0,0,0,0,0,0,1,0,3,7," $23,442.00 ","","","0",39,"36-45"
800,1960,Graduation,Together,,1,1,"08-30-2013",57,0,23,1,6,0,0,2,2,0,0,0,0,0,0,1,0,3,4," $44,512.00 ","","","0",66,"56+"
803,1968,Graduation,Together,,1,1,"05-04-2013",82,0,12,0,5,0,0,4,1,0,0,0,0,0,0,0,1,2,5," $40,521.00 ","","","0",58,"56+"
807,1969,Master,Together,,1,1,"02-15-2014",35,0,167,2,89,0,0,34,6,0,0,0,0,0,0,6,1,4,8," $44,602.00 ","","","0",57,"56+"
810,1975,Graduation,Married,,0,1,"12-05-2014",49,0,151,81,86,168,91,64,2,0,0,0,0,0,0,4,2,11,2," $74,190.00 ","","","0",51,"46-55"
819,1945,Graduation,Widow,,0,0,"05-11-2013",84,0,508,124,249,50,38,134,1,0,0,0,0,0,0,6,5,13,3," $63,285.00 ","","","0",81,"56+"
821,1992,Master,Single,,0,0,"10-19-2012",46,0,962,61,921,52,61,20,1,0,0,0,0,0,0,5,4,12,2," $92,859.00 ","","","0",34,"26-35"
830,1987,PhD,Single,,0,0,"02-24-2014",5,0,784,48,560,42,176,48,1,1,0,0,0,1,1,4,6,4,3," $74,004.00 ","","","3",39,"36-45"
832,1966,PhD,Together,,0,1,"02-03-2014",90,0,561,14,113,10,14,35,3,0,0,0,0,0,0,8,2,10,5," $65,814.00 ","","","0",60,"56+"
833,1955,Master,Married,,1,1,"03-30-2014",62,0,56,0,14,0,0,2,3,0,0,0,0,0,0,3,0,3,7," $38,452.00 ","","","0",71,"56+"
837,1977,Graduation,Married,,1,1,"11-09-2013",0,0,63,6,57,13,13,22,4,0,0,0,0,0,0,2,1,5,4," $54,809.00 ","","","0",49,"46-55"
839,1975,PhD,Married,,1,0,"09-25-2013",54,0,97,4,44,6,1,18,1,0,0,0,0,0,0,3,1,4,5," $45,503.00 ","","","0",51,"46-55"
843,1971,Graduation,Married,,1,0,"05-26-2014",47,0,303,0,280,60,147,15,4,0,0,0,0,0,0,8,2,11,6," $64,722.00 ","","","0",55,"46-55"
849,1953,Master,Together,,0,1,"06-20-2013",65,0,320,48,133,39,72,48,4,0,0,0,0,0,0,6,2,10,4," $56,129.00 ","","","0",73,"56+"
850,1968,Graduation,Single,,0,1,"06-10-2013",4,0,381,28,215,84,28,21,2,0,0,0,0,0,0,6,5,9,3," $70,566.00 ","","","0",58,"56+"
